ShapedRewardPerEpisode,ShapedRewardCumulative,Pysc2RewardPerEpisode,Pysc2RewardCumulative,MeanLossPerEpisode,Epsilon,MergeDummy
207.67019526660442,1591181.047117591,22,169069,1.6451354002648866e+24,0.0,0
176.581987708807,1591357.6291052997,19,169088,1.6641077324295088e+24,0.0,0
197.03226920962334,1591554.6613745093,21,169109,1.6897572094880616e+24,0.0,0
198.03257158398628,1591752.6939460933,21,169130,1.798750805653891e+24,0.0,0
197.51012574136257,1591950.2040718347,21,169151,1.760780488821169e+24,0.0,0
197.5556823015213,1592147.7597541362,21,169172,1.68166831221174e+24,0.0,0
197.44717946648598,1592345.2069336027,21,169193,1.6415672523233165e+24,0.0,0
207.72764962911606,1592552.9345832318,22,169215,1.7893325898827577e+24,0.0,0
207.04537758231163,1592759.9799608141,22,169237,1.8719434509131044e+24,0.0,0
176.9506236165762,1592936.9305844307,19,169256,1.7441666017094083e+24,0.0,0
187.1029730439186,1593124.0335574746,20,169276,1.6949439151069116e+24,0.0,0
185.83887612819672,1593309.8724336028,20,169296,1.778597161292611e+24,0.0,0
187.07165786623955,1593496.944091469,20,169316,1.6311124160043536e+24,0.0,0
196.85650151968002,1593693.8005929887,21,169337,1.5851261241804764e+24,0.0,0
165.66301345825195,1593859.463606447,18,169355,1.7265864222615989e+24,0.0,0
187.00636476278305,1594046.4699712098,20,169375,1.7669741272591052e+24,0.0,0
197.94338209927082,1594244.413353309,21,169396,1.689824367165705e+24,0.0,0
164.99541401863098,1594409.4087673277,18,169414,1.6445658570416109e+24,0.0,0
186.41950312256813,1594595.8282704502,20,169434,1.7187994463042961e+24,0.0,0
239.53648008406162,1594835.3647505343,25,169459,1.8083821677881885e+24,0.0,0
208.43176406621933,1595043.7965146005,22,169481,1.680576063201313e+24,0.0,0
197.18025667965412,1595240.9767712802,21,169502,1.7285939468314955e+24,0.0,0
165.3194011002779,1595406.2961723804,18,169520,1.8508915365845476e+24,0.0,0
218.6619714796543,1595624.95814386,23,169543,1.7303130969100524e+24,0.0,0
176.7845744341612,1595801.7427182943,19,169562,1.8080862993070688e+24,0.0,0
218.6906762868166,1596020.433394581,23,169585,1.8004078420863872e+24,0.0,0
186.78514240682125,1596207.218536988,20,169605,1.7086054584757505e+24,0.0,0
187.0242845416069,1596394.2428215295,20,169625,1.67284903916225e+24,0.0,0
176.30840601027012,1596570.5512275398,19,169644,1.751056892966503e+24,0.0,0
198.22197142243385,1596768.7731989622,21,169665,1.6294256918431137e+24,0.0,0
197.85890671610832,1596966.6321056783,21,169686,1.7181026493699494e+24,0.0,0
185.97244292497635,1597152.6045486033,20,169706,1.695793762370995e+24,0.0,0
176.76803313195705,1597329.3725817353,19,169725,1.6721963414754543e+24,0.0,0
197.27614045143127,1597526.6487221867,21,169746,1.564607003702236e+24,0.0,0
186.64102646708488,1597713.2897486538,20,169766,1.5254785772181366e+24,0.0,0
197.84777575731277,1597911.137524411,21,169787,1.6012307082175771e+24,0.0,0
186.90303517878056,1598098.0405595899,20,169807,1.8188383011438442e+24,0.0,0
208.06022065877914,1598306.1007802486,22,169829,1.6971925443864592e+24,0.0,0
187.48589977622032,1598493.5866800249,20,169849,1.8149653495794936e+24,0.0,0
