x,y
65,13
61,36
83,3
56,13
78,23
26,19
83,46
69,56
0,26
21,26
34,46
0,26
0,29
26,13
61,36
17,43
4,13
65,3
39,13
74,49
21,3
78,29
74,13
48,29
8,16
48,63
65,3
4,53
56,53
39,9
34,3
52,56
83,49
0,29
4,3
13,6
26,6
78,53
74,36
30,36
74,33
52,0
56,33
69,46
78,6
34,23
13,33
56,16
17,19
61,63
56,63
8,53
61,43
69,6
17,53
69,16
0,23
0,53
69,13
4,53
74,56
83,43
83,49
21,0
26,26
65,29
0,33
13,46
52,53
34,39
4,33
61,39
8,59
39,59
0,0
39,0
69,56
74,59
17,16
65,59
34,59
30,36
69,33
4,63
13,33
61,6
21,46
0,56
52,23
0,39
17,3
48,9
30,0
34,43
8,29
52,6
21,13
65,19
43,43
74,63
69,63
78,33
52,9
4,46
0,0
17,46
26,0
69,6
52,9
39,49
0,3
21,63
61,33
0,63
52,36
69,39
39,53
78,59
52,49
69,56
39,53
30,49
83,43
21,53
13,13
65,19
30,56
17,56
13,3
39,46
69,26
52,6
0,59
69,16
48,13
48,63
21,33
74,39
56,19
34,53
0,29
17,56
13,46
4,53
13,49
4,63
43,0
56,46
56,16
0,46
4,43
8,36
65,33
8,29
83,46
30,46
17,36
8,16
8,16
69,16
39,23
43,26
17,6
26,23
0,16
52,16
83,29
13,59
39,16
74,49
30,13
43,39
21,59
65,43
83,33
65,29
43,19
0,29
39,29
13,36
74,36
4,6
74,29
4,19
4,36
83,59
69,23
56,3
69,13
8,63
13,19
30,59
0,6
26,6
78,19
17,6
26,26
17,59
21,43
83,19
61,56
0,36
0,53
30,6
4,6
61,0
74,53
34,23
21,59
8,63
0,0
83,16
52,63
34,29
21,49
74,39
34,36
39,39
13,56
69,16
17,29
78,39
17,26
65,3
48,56
83,3
43,56
13,33
13,29
83,36
17,43
13,59
4,59
26,36
56,36
69,59
26,33
26,46
74,36
8,0
69,6
52,29
56,53
4,43
43,33
43,29
48,59
83,43
39,43
69,33
43,46
13,36
13,46
56,39
69,59
39,13
4,56
17,9
69,26
30,23
56,46
74,36
61,49
43,0
61,16
56,53
17,49
61,29
83,26
13,23
78,56
43,0
34,59
0,19
17,53
52,0
48,46
69,56
17,36
78,0
26,33
56,26
56,53
17,26
65,33
43,53
30,33
52,59
52,0
0,63
56,59
56,36
65,56
61,26
30,26
78,0
83,56
30,16
61,59
61,63
43,63
61,59
17,63
17,9
74,33
52,56
43,0
26,53
17,43
56,9
74,13
30,13
30,33
65,6
0,59
52,43
65,6
26,16
