pseudo reward per epoch,reward per epoch,cumulative reward
-77.10060000000001,0,164.0
-116.07169999999998,0,164.0
-94.22209999999995,0,164.0
-154.4838,0,164.0
-54.79700000000005,0,164.0
-46.93059999999996,3,167.0
-126.60220000000027,0,167.0
-88.45069999999996,0,167.0
-53.73789999999995,0,167.0
-66.33009999999996,0,167.0
-69.63370000000003,0,167.0
-94.0380999999999,2,169.0
-77.23730000000005,1,170.0
-86.93869999999993,0,170.0
-62.724100000000014,1,171.0
-70.59649999999998,0,171.0
-67.49180000000021,0,171.0
-67.60110000000005,0,171.0
-83.99800000000008,0,171.0
-90.75029999999998,1,172.0
-53.37029999999997,1,173.0
-89.70870000000012,1,174.0
-106.00110000000002,0,174.0
-60.55910000000025,0,174.0
-53.03950000000002,2,176.0
-112.39929999999988,0,176.0
-157.4777000000006,0,176.0
-53.77250000000002,0,176.0
-73.93149999999996,0,176.0
-107.12070000000026,0,176.0
-48.84830000000022,0,176.0
-117.48039999999997,1,177.0
-72.94809999999997,0,177.0
-38.42579999999997,2,179.0
-101.03190000000002,1,180.0
-135.61239999999978,1,181.0
-48.3673000000001,0,181.0
-128.07550000000006,0,181.0
-101.5491999999999,0,181.0
-81.23170000000003,1,182.0
-58.102599999999896,0,182.0
-41.70240000000001,1,183.0
-87.08939999999991,0,183.0
-51.539699999999996,0,183.0
-84.86700000000013,0,183.0
-61.67659999999999,0,183.0
-183.31100000000004,0,183.0
-92.86649999999999,0,183.0
-49.70279999999985,0,183.0
-87.7119,0,183.0
-132.99590000000003,0,183.0
-71.35339999999997,1,184.0
-33.85590000000002,1,185.0
-99.8865999999999,0,185.0
-97.51349999999991,0,185.0
-97.62869999999988,0,185.0
-54.9213,0,185.0
-83.87689999999996,1,186.0
-34.8571,0,186.0
-104.20359999999994,0,186.0
-132.8589999999998,0,186.0
-67.23659999999994,1,187.0
-84.93829999999997,0,187.0
-125.42729999999986,0,187.0
-139.6990000000001,0,187.0
-113.36979999999991,0,187.0
-89.83990000000001,0,187.0
-45.76850000000004,0,187.0
-52.651999999999965,0,187.0
-83.71949999999988,0,187.0
-79.64429999999999,0,187.0
-72.22759999999998,0,187.0
-65.17400000000002,2,189.0
-66.75249999999993,3,192.0
-80.9565999999999,0,192.0
-39.50039999999998,0,192.0
-41.511299999999935,1,193.0
-51.41560000000009,4,197.0
-101.90199999999987,0,197.0
-72.83820000000001,2,199.0
-96.25690000000003,1,200.0
-136.66720000000012,0,200.0
-96.74059999999984,0,200.0
-82.12689999999999,1,201.0
-39.80050000000005,1,202.0
-44.12530000000002,0,202.0
-164.21390000000002,0,202.0
-89.97579999999999,2,204.0
-59.21009999999994,0,204.0
-55.35630000000001,0,204.0
-70.45460000000003,0,204.0
-100.31019999999998,0,204.0
-70.54429999999994,1,205.0
-92.04870000000003,1,206.0
-91.02219999999984,2,208.0
-40.27269999999999,0,208.0
-67.42010000000012,0,208.0
-69.07219999999998,0,208.0
-130.26309999999975,1,209.0
-77.98440000000004,0,209.0
-91.30470000000027,0,209.0
-45.59079999999999,0,209.0
-51.02690000000008,0,209.0
-112.91509999999991,0,209.0
-77.04149999999991,0,209.0
-73.68349999999994,0,209.0
-19.763200000000015,0,209.0
-83.60090000000001,0,209.0
-149.6755000000001,0,209.0
-103.76790000000015,0,209.0
-80.53889999999998,1,210.0
-76.60029999999993,0,210.0
-144.79329999999987,0,210.0
-149.66420000000025,0,210.0
-44.01300000000001,0,210.0
-48.302900000000115,0,210.0
-70.28559999999986,0,210.0
-103.57809999999982,0,210.0
-103.66550000000012,0,210.0
-76.89319999999994,0,210.0
-37.131100000000046,0,210.0
-107.74659999999999,0,210.0
-58.05609999999991,0,210.0
-81.50719999999997,0,210.0
-48.47549999999992,0,210.0
-40.60619999999999,0,210.0
-72.42360000000035,0,210.0
-57.121099999999984,1,211.0
-74.67509999999999,1,212.0
-66.75499999999987,0,212.0
-82.6855000000001,3,215.0
-62.883400000000016,0,215.0
-88.87319999999988,1,216.0
-51.37979999999995,0,216.0
-92.15320000000004,0,216.0
-108.2091,1,217.0
-116.30649999999983,0,217.0
-51.04040000000001,0,217.0
-74.81689999999992,0,217.0
-51.682700000000175,0,217.0
-56.2214999999998,1,218.0
-85.80869999999985,0,218.0
-86.83949999999983,0,218.0
-59.38449999999997,0,218.0
-67.10950000000012,0,218.0
-72.63170000000004,1,219.0
-158.20860000000047,0,219.0
-70.43499999999995,0,219.0
-52.28029999999996,2,221.0
-58.92740000000004,0,221.0
-105.99449999999983,1,222.0
-72.57870000000003,0,222.0
-100.10690000000004,0,222.0
-124.53640000000011,1,223.0
-56.07619999999997,0,223.0
-67.26400000000001,0,223.0
-74.3375000000001,0,223.0
-65.66980000000001,0,223.0
-91.92140000000035,2,225.0
-131.02489999999966,0,225.0
-67.64990000000004,0,225.0
-98.57949999999987,0,225.0
-35.13079999999999,0,225.0
-47.43430000000015,0,225.0
-74.52369999999998,0,225.0
-37.113700000000016,0,225.0
-118.95680000000047,0,225.0
-58.50680000000022,0,225.0
-102.29819999999972,0,225.0
-80.86789999999989,0,225.0
-73.14170000000007,0,225.0
-68.90899999999999,0,225.0
-88.43390000000004,1,226.0
-61.78510000000001,2,228.0
-52.98069999999983,0,228.0
-84.91839999999996,0,228.0
-133.1577,0,228.0
-73.72650000000002,0,228.0
-49.38850000000001,0,228.0
-45.99550000000005,0,228.0
-74.34629999999999,0,228.0
-95.70629999999979,0,228.0
-159.27630000000028,0,228.0
-59.69220000000012,3,231.0
-56.496399999999944,2,233.0
-122.50179999999996,0,233.0
-101.46560000000024,0,233.0
-72.8567000000001,0,233.0
-88.86909999999978,0,233.0
-164.98519999999985,0,233.0
-80.77279999999985,0,233.0
-128.44779999999997,0,233.0
-64.77129999999994,1,234.0
-93.72649999999983,0,234.0
-83.47949999999994,0,234.0
-76.98789999999997,0,234.0
-100.0248999999996,0,234.0
